year,canton,diseasesGroup,diseases,species,count
2012,ZH,Epidemics to be supervised,Listeriosis,Sheep,1
2012,ZH,Epidemics to be eradicated,Bovine Virusdiarrhoe / Mucosal disease,Cattle,7
2012,FR,Epidemics to be fought,Avian salmonellosis,Chicken,1
2012,BL,Epidemics to be fought,Salmonellosis,Sheep,1
2012,FR,Epidemics to be supervised,Listeriosis,Cattle,1
2012,VD,Epidemics to be supervised,Campylobacteriosis,Cat,1
2012,AI,Epidemics to be eradicated,Bovine Virusdiarrhoe / Mucosal disease,Cattle,5
2012,SG,Epidemics to be supervised,Neosporosis,Cattle,4
2012,ZH,Epidemics to be fought,Paratuberculosis,Cattle,3
2012,ZH,Epidemics to be supervised,Ovine pulmonary adenomatosis,Sheep,1
2012,TI,Epidemics to be supervised,Enzootic abortion of ewes,Goat,3
2012,GR,Epidemics to be fought,American foulbrood of honey bees,Bees,15
2012,ZH,Epidemics to be fought,Leptospirosis,Dog,1
2012,VD,Epidemics to be supervised,Maedi-visna,Goat,8
