Nr (abs);Milchproduktkategorie;Beschreibung;Proben-Nr. extern;Datum Probenahme;Bemerkung generell;Produktionsland;PFBA [µg/kg];PFPeA [µg/kg];PFHxA [µg/kg];PFHpA [µg/kg];PFOA [µg/kg];PFNA [µg/kg];PFDA [µg/kg];PFUnDA [µg/kg];PFDoDA [µg/kg];PFTrDA [µg/kg];PFTeDA [µg/kg];PFBS [µg/kg];PFPeS [µg/kg];total PFHxS [µg/kg];PFHpS [µg/kg];total PFOS [µg/kg];PFNS [µg/kg];PFDS [µg/kg];PFUnDS [µg/kg];PFDoDS [µg/kg];PFTrDS [µg/kg];HFPO-DA [µg/kg];DONA [µg/kg];9Cl-PF3ONS [µg/kg];11Cl-PF3OUnDS [µg/kg];4:2 FTS [µg/kg];8:2 FTS [µg/kg];10:2 FTS [µg/kg];FOSA [µg/kg];Capstone A [µg/kg];Capstone B [µg/kg];6:2 FTOH [µg/kg];8:2 FTOH [µg/kg]
20876;Milch Detailhandel;Bio Vollmilch UHT, 3,9% Milchfett;109;26.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20877;Milch Detailhandel;Teilentrahmte Milch Past, 2,5% Milchfett;110;26.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20878;Milch Detailhandel;Vollmilch Past, 3,5% Milchfett;111;26.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20890;Milch Detailhandel;Vollmilch Past, 3,5% Milchfett;123;26.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20891;Milch Detailhandel;Teilentrahmte Milch Past, 2,5% Milchfett;124;26.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20892;Milch Detailhandel;Bio Teilentrahmte Milch Past, 2,5% Milchfett;125;26.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;0.011;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20893;Milch Detailhandel;Bio Vollmilch Past, 3,9% Milchfett;126;26.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;0.056;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20896;Joghurt;Bio Jogurt nature;129;26.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20897;Joghurt;Jogurt nature;130;26.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20937;Joghurt;Joghurt nature, bio;170;26.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20949;Milch Detailhandel;Vollmilch UHT, 3,5% Milchfett;182;27.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;0.016;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20950;Milch Detailhandel;Teilentrahmte Milch UHT, 1,5% Milchfett;183;27.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20951;Milch Detailhandel;Vollmilch UHT, 3,5% Fett;184;27.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20952;Milch Detailhandel;Teilentrahmte Milch UHT, 2,5% Fett;185;27.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20956;Milch Detailhandel;Bio Teilentrahmte Milch UHT, 2,7% Milchfett;189;29.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20960;Joghurt;Jogurt nature;193;29.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20971;Milch Detailhandel;Vollmilch UHT, 3,5% Fett;204;28.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20973;Joghurt;Jogurt nature;206;28.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20974;Joghurt;Jogurt nature;207;28.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20975;Joghurt;Jogurt nature;208;28.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20980;Kesselsammelmilch;Kesselsammelmilch ;213;;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20981;Kesselsammelmilch;Kesselsammelmilch ;214;;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20982;Kesselsammelmilch;Kesselsammelmilch ;215;06.02.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20983;Kesselsammelmilch;Kesselsammelmilch ;216;06.02.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20984;Kesselsammelmilch;Kesselsammelmilch ;217;05.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;0.013;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20985;Kesselsammelmilch;Kesselsammelmilch ;218;17.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20986;Kesselsammelmilch;Kesselsammelmilch ;219;;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20987;Kesselsammelmilch;Kesselsammelmilch ;220;18.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20988;Kesselsammelmilch;Kesselsammelmilch ;221;20.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20989;Kesselsammelmilch;Kesselsammelmilch ;222;25.02.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20990;Kesselsammelmilch;Kesselsammelmilch ;223;;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;0.019;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20991;Kesselsammelmilch;Kesselsammelmilch ;224;24.02.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20992;Kesselsammelmilch;Kesselsammelmilch ;225;24.02.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20993;Kesselsammelmilch;Kesselsammelmilch ;226;06.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
