Year,AnimalSpecies,Origin,Count
2019,Pferde,gezüchtet,0
2019,Pferde,importiert,0
2019,Schweine,gezüchtet,5220
2019,Schweine,importiert,7
2019,Lama,gezüchtet,0
2019,Lama,importiert,0
2019,Geflügel,gezüchtet,261
2019,Geflügel,importiert,0
2019,Wilde Nagetiere,gezüchtet,1209
2019,Wilde Nagetiere,importiert,0
2019,Fledermäuse,gezüchtet,0
2019,Fledermäuse,importiert,0
2019,Vögel (ohne Geflügel),gezüchtet,224
2019,Vögel (ohne Geflügel),importiert,100
2019,Steinbock,gezüchtet,0
2019,Steinbock,importiert,0
2019,Luchs,gezüchtet,0
2019,Luchs,importiert,0
2019,Rothirsch,gezüchtet,0
2019,Rothirsch,importiert,0
2019,Tupaia,gezüchtet,22
2019,Tupaia,importiert,0
2019,diverse Säugetiere,gezüchtet,70
2019,diverse Säugetiere,importiert,0
2020,Maus wt,gezüchtet,106822
2020,Maus wt,importiert,143362
2020,Maus gm,gezüchtet,750563
2020,Maus gm,importiert,26949
2020,Meerschweinchen,gezüchtet,0
2020,Meerschweinchen,importiert,272
2020,Gerbilis,gezüchtet,0
2020,Gerbilis,importiert,51
2020,Hamster,gezüchtet,0
2020,Hamster,importiert,170
2020,andere Labornager,gezüchtet,8
2020,andere Labornager,importiert,6
2020,Ratten wt,gezüchtet,7494
2020,Ratten wt,importiert,40877
2020,Ratten gm,gezüchtet,2237
2020,Ratten gm,importiert,847
2020,Kaninchen wt,gezüchtet,70
2020,Kaninchen wt,importiert,334
2020,Kaninchen gm,gezüchtet,0
2020,Kaninchen gm,importiert,15
2020,Hunde,gezüchtet,0
2020,Hunde,importiert,0
2020,Katzen,gezüchtet,4
2020,Katzen,importiert,0
2020,Primaten,gezüchtet,1
2020,Primaten,importiert,9
2020,Fische-wt,gezüchtet,51343
2020,Fische-wt,importiert,4171
2020,Fische-gm,gezüchtet,136613
2020,Fische-gm,importiert,6120
2020,Dekapoden,gezüchtet,0
2020,Dekapoden,importiert,0
2020,Amphibien wt,gezüchtet,150
2020,Amphibien wt,importiert,8514
2020,Amphibien gm,gezüchtet,2
2020,Amphibien gm,importiert,72
2020,Reptilien,gezüchtet,306
2020,Reptilien,importiert,2
2020,Rinderartige,gezüchtet,266
2020,Rinderartige,importiert,2
2020,Schafe,gezüchtet,42
2020,Schafe,importiert,0
2020,Ziegen,gezüchtet,19
2020,Ziegen,importiert,0
2020,Pferde,gezüchtet,0
2020,Pferde,importiert,0
2020,Schweine,gezüchtet,4394
2020,Schweine,importiert,14
2020,Lama,gezüchtet,0
2020,Lama,importiert,0
2020,Geflügel,gezüchtet,2999
2020,Geflügel,importiert,0
2020,Wilde Nagetiere,gezüchtet,1162
2020,Wilde Nagetiere,importiert,0
2020,Fledermäuse,gezüchtet,0
2020,Fledermäuse,importiert,0
2020,Vögel (ohne Geflügel),gezüchtet,132
2020,Vögel (ohne Geflügel),importiert,0
2020,Steinbock,gezüchtet,0
2020,Steinbock,importiert,0
2020,Luchs,gezüchtet,0
2020,Luchs,importiert,0
2020,Rothirsch,gezüchtet,0
2020,Rothirsch,importiert,0
2020,Tupaia,gezüchtet,10
2020,Tupaia,importiert,0
2020,diverse Säugetiere,gezüchtet,67
2020,diverse Säugetiere,importiert,0
2021,Andere Labornager,gezüchtet,0
2021,Andere Labornager,importiert,0
2021,Cephalopoden,gezüchtet,4
2021,Cephalopoden,importiert,0
2021,Dekapoden,gezüchtet,0
2021,Dekapoden,importiert,0
2021,Fische gm,gezüchtet,114480
2021,Fische gm,importiert,9490
2021,Fische wt,gezüchtet,27142
2021,Fische wt,importiert,5151
2021,Frösche gm,gezüchtet,140
2021,Frösche gm,importiert,166
2021,Frösche wt,gezüchtet,9063
2021,Frösche wt,importiert,1984
2021,Geflügel,gezüchtet,761
2021,Geflügel,importiert,4800
2021,Hamster,gezüchtet,0
2021,Hamster,importiert,136
2021,Hunde,gezüchtet,13
2021,Hunde,importiert,0
2021,Kaninchen gm,gezüchtet,0
2021,Kaninchen gm,importiert,65
2021,Kaninchen wt,gezüchtet,80
2021,Kaninchen wt,importiert,425
2021,Katzen,gezüchtet,0
2021,Katzen,importiert,0
2021,Mäuse gm,gezüchtet,776543
2021,Mäuse gm,importiert,37497
2021,Mäuse wt,gezüchtet,110862
2021,Mäuse wt,importiert,144384
2021,Meerschweinchen,gezüchtet,0
2021,Meerschweinchen,importiert,177
2021,"Pferde, Esel",gezüchtet,0
2021,"Pferde, Esel",importiert,0
2021,Primaten,gezüchtet,4
2021,Primaten,importiert,5
2021,Ratten gm,gezüchtet,2271
2021,Ratten gm,importiert,1292
2021,Ratten wt,gezüchtet,5736
2021,Ratten wt,importiert,38553
2021,Rennmäuse,gezüchtet,1
2021,Rennmäuse,importiert,65
2021,Reptilien gm,gezüchtet,82
2021,Reptilien gm,importiert,0
2021,Reptilien wt,gezüchtet,139
2021,Reptilien wt,importiert,24
2021,"Rinder, Büffel",gezüchtet,274
2021,"Rinder, Büffel",importiert,0
2021,Schafe,gezüchtet,32
2021,Schafe,importiert,0
2021,Schweine,gezüchtet,5015
2021,Schweine,importiert,19
2021,Tupaias,gezüchtet,27
2021,Tupaias,importiert,0
2021,Vögel (ohne Geflügel),gezüchtet,130
2021,Vögel (ohne Geflügel),importiert,0
2021,Weitere Säuger,gezüchtet,43
2021,Weitere Säuger,importiert,0
2021,Wilde Nager,gezüchtet,928
2021,Wilde Nager,importiert,0
2021,Ziegen,gezüchtet,18
2021,Ziegen,importiert,0
2022,Weitere Nager,gezüchtet,2124
2022,Weitere Nager,importiert,0
2022,Cephalopoden,gezüchtet,5
2022,Cephalopoden,importiert,0
2022,Dekapoden,gezüchtet,0
2022,Dekapoden,importiert,0
2022,Fische gm,gezüchtet,101248
2022,Fische gm,importiert,3663
2022,Fische wt,gezüchtet,48844
2022,Fische wt,importiert,4991
2022,Amphibien gm,gezüchtet,430
2022,Amphibien gm,importiert,2300
2022,Amphibien wt,gezüchtet,234
2022,Amphibien wt,importiert,13620
2022,Geflügel,gezüchtet,5
2022,Geflügel,importiert,600
2022,Hamster,gezüchtet,0
2022,Hamster,importiert,113
2022,Hunde,gezüchtet,0
2022,Hunde,importiert,0
2022,Kaninchen gm,gezüchtet,0
2022,Kaninchen gm,importiert,63
2022,Kaninchen wt,gezüchtet,42
2022,Kaninchen wt,importiert,385
2022,Katzen,gezüchtet,1
2022,Katzen,importiert,0
2022,Mäuse gm,gezüchtet,765055
