Year,Category,Species,Category of use,Prescription type,Treatment days,Treatment days with critical antibiotics,Treatment days per 1000,Critical treatment days per 1000,Total animal numbers across production cycles
2022,Farm animals,All species,All categories of use,All prescription types,46878656,9246116,16923.48,1597.94,101604084
2022,Farm animals,All species,Rearing laying hens and parent birds,All prescription types,2823270,1302296,751.97,346.86,3754481
2022,Farm animals,All species,Game animals,All prescription types,86,13,5.8,0.88,14830
2022,Farm animals,All species,Camelids,All prescription types,3145,1086,336.51,116.2,9346
2022,Farm animals,All species,Rabbits,All prescription types,1774167,11397,6783.93,43.58,261525
2022,Farm animals,All species,Laying and parent birds,All prescription types,764379,15137,1840.58,36.45,415292
2022,Farm animals,All species,Laying hens,All prescription types,1791951,67158,502.41,18.83,3566711
2022,Farm animals,All species,Fattening broilers,All prescription types,34373927,7056287,409.66,84.09,83908974
2022,Farm animals,All species,Fattening pigs and giltsm,All prescription types,516282,40696,209.19,16.49,2467959
2022,Farm animals,All species,Fattening turkeys,All prescription types,85401,6000,205.92,14.47,414732
2022,Farm animals,All species,Dairy cows,All prescription types,802624,73672,1517.44,139.28,528934
2022,Farm animals,All species,Suckler cows,All prescription types,51155,3511,221.13,15.18,231333
2022,Farm animals,All species,Cattle rearing and fattening,All prescription types,2760080,521237,2716.04,512.92,1016215
2022,Farm animals,All species,Suckling and weaned piglets,All prescription types,1010115,125733,227.47,28.31,4440736
2022,Farm animals,All species,Sheep,All prescription types,43493,3837,100.13,8.83,434370
2022,Farm animals,All species,Goats,All prescription types,63902,16071,580.12,145.9,110153
2022,Farm animals,All species,Breeding sows and boars,All prescription types,14679,1985,515.18,69.67,28493
2022,Farm animals,Poultry,All categories of use,All prescription types,39838928,8446878,3710.54,500.7,92060190
2022,Farm animals,Poultry,Rearing laying hens and parent birds,All prescription types,2823270,1302296,751.97,346.86,3754481
2022,Farm animals,Poultry,Laying and parent birds,All prescription types,764379,15137,1840.58,36.45,415292
2022,Farm animals,Poultry,Laying hens,All prescription types,1791951,67158,502.41,18.83,3566711
2022,Farm animals,Poultry,Fattening broilers,All prescription types,34373927,7056287,409.66,84.09,83908974
2022,Farm animals,Poultry,Fattening turkeys,All prescription types,85401,6000,205.92,14.47,414732
2022,Farm animals,Game animals,All categories of use,All prescription types,86,13,5.8,0.88,14830
2022,Farm animals,Game animals,Game animals,All prescription types,86,13,5.8,0.88,14830
2022,Farm animals,Camelids,All categories of use,All prescription types,3145,1086,336.51,116.2,9346
2022,Farm animals,Camelids,Camelids,All prescription types,3145,1086,336.51,116.2,9346
2022,Farm animals,Rabbits,All categories of use,All prescription types,1774167,11397,6783.93,43.58,261525
2022,Farm animals,Rabbits,Rabbits,All prescription types,1774167,11397,6783.93,43.58,261525
2022,Farm animals,Cattle,All categories of use,All prescription types,3613859,598420,4454.61,667.38,1776482
2022,Farm animals,Cattle,Dairy cows,All prescription types,802624,73672,1517.44,139.28,528934
2022,Farm animals,Cattle,Suckler cows,All prescription types,51155,3511,221.13,15.18,231333
2022,Farm animals,Cattle,Cattle rearing and fattening,All prescription types,2760080,521237,2716.04,512.92,1016215
2022,Farm animals,Sheep,All categories of use,All prescription types,43493,3837,100.13,8.83,434370
2022,Farm animals,Sheep,Sheep,All prescription types,43493,3837,100.13,8.83,434370
2022,Farm animals,Pigs,All categories of use,All prescription types,1541076,168414,951.84,114.47,6937188
2022,Farm animals,Pigs,Fattening pigs and giltsm,All prescription types,516282,40696,209.19,16.49,2467959
2022,Farm animals,Pigs,Suckling and weaned piglets,All prescription types,1010115,125733,227.47,28.31,4440736
2022,Farm animals,Pigs,Breeding sows and boars,All prescription types,14679,1985,515.18,69.67,28493
2022,Farm animals,Goats,All categories of use,All prescription types,63902,16071,580.12,145.9,110153
2022,Farm animals,Goats,Goats,All prescription types,63902,16071,580.12,145.9,110153
2023,All animals,All species,All categories of use,All prescription types,43063901,6707742,16543.58,2533.78,101852249
2023,All animals,All species,Rearing laying hens and parent birds,All prescription types,1055312,526988,215.64,107.68,4893934
2023,All animals,All species,Equids,All prescription types,86106,2452,763.14,21.73,112831
2023,All animals,All species,Game animals,All prescription types,118,77,7.97,5.2,14810
2023,All animals,All species,Dogs,All prescription types,1284333,175063,2326.33,317.09,552085
2023,All animals,All species,Camelids,All prescription types,3503,1102,366.54,115.31,9557
2023,All animals,All species,Rabbits,All prescription types,746941,10375,3417.63,47.47,218555
2023,All animals,All species,Cats,All prescription types,2164965,1182632,1242.44,678.7,1742506
2023,All animals,All species,Laying and parent birds,All prescription types,332251,50126,862.03,130.05,385429
2023,All animals,All species,Laying hens,All prescription types,1258012,105069,351.04,29.32,3583707
2023,All animals,All species,Fattening broilers,All prescription types,30877837,3857876,381.72,47.69,80891652
2023,All animals,All species,Fattening pigs and giltsm,All prescription types,463400,50920,195.07,21.43,2375577
2023,All animals,All species,Fattening turkeys,All prescription types,59821,12001,146.58,29.41,408100
2023,All animals,All species,Dairy cows,All prescription types,1022047,90468,1959.83,173.48,521497
2023,All animals,All species,Suckler cows,All prescription types,64858,5047,266.8,20.76,243093
2023,All animals,All species,Cattle rearing and fattening,All prescription types,2731304,518344,2685.84,509.72,1016926
2023,All animals,All species,Suckling and weaned piglets,All prescription types,780448,93870,182.12,21.9,4285400
2023,All animals,All species,Sheep,All prescription types,66312,8327,146.6,18.41,452340
2023,All animals,All species,Goats,All prescription types,49847,13666,426.99,117.06,116740
2023,All animals,All species,Breeding sows and boars,All prescription types,16486,3339,599.27,121.37,27510
2023,All animals,Equids,All categories of use,All prescription types,86106,2452,763.14,21.73,112831
2023,All animals,Equids,Equids,All prescription types,86106,2452,763.14,21.73,112831
2023,All animals,Poultry,All categories of use,All prescription types,33583233,4552060,1957.01,344.15,90162822
2023,All animals,Poultry,Rearing laying hens and parent birds,All prescription types,1055312,526988,215.64,107.68,4893934
2023,All animals,Poultry,Laying and parent birds,All prescription types,332251,50126,862.03,130.05,385429
2023,All animals,Poultry,Laying hens,All prescription types,1258012,105069,351.04,29.32,3583707
2023,All animals,Poultry,Fattening broilers,All prescription types,30877837,3857876,381.72,47.69,80891652
2023,All animals,Poultry,Fattening turkeys,All prescription types,59821,12001,146.58,29.41,408100
2023,All animals,Game animals,All categories of use,All prescription types,118,77,7.97,5.2,14810
2023,All animals,Game animals,Game animals,All prescription types,118,77,7.97,5.2,14810
2023,All animals,Dogs,All categories of use,All prescription types,1284333,175063,2326.33,317.09,552085
2023,All animals,Dogs,Dogs,All prescription types,1284333,175063,2326.33,317.09,552085
2023,All animals,Camelids,All categories of use,All prescription types,3503,1102,366.54,115.31,9557
2023,All animals,Camelids,Camelids,All prescription types,3503,1102,366.54,115.31,9557
2023,All animals,Rabbits,All categories of use,All prescription types,746941,10375,3417.63,47.47,218555
2023,All animals,Rabbits,Rabbits,All prescription types,746941,10375,3417.63,47.47,218555
2023,All animals,Cats,All categories of use,All prescription types,2164965,1182632,1242.44,678.7,1742506
2023,All animals,Cats,Cats,All prescription types,2164965,1182632,1242.44,678.7,1742506
2023,All animals,Cattle,All categories of use,All prescription types,3818209,613859,4912.47,703.96,1781516
2023,All animals,Cattle,Dairy cows,All prescription types,1022047,90468,1959.83,173.48,521497
2023,All animals,Cattle,Suckler cows,All prescription types,64858,5047,266.8,20.76,243093
2023,All animals,Cattle,Cattle rearing and fattening,All prescription types,2731304,518344,2685.84,509.72,1016926
2023,All animals,Sheep,All categories of use,All prescription types,66312,8327,146.6,18.41,452340
2023,All animals,Sheep,Sheep,All prescription types,66312,8327,146.6,18.41,452340
2023,All animals,Pigs,All categories of use,All prescription types,1260334,148129,976.46,164.7,6688487
2023,All animals,Pigs,Fattening pigs and giltsm,All prescription types,463400,50920,195.07,21.43,2375577
2023,All animals,Pigs,Suckling and weaned piglets,All prescription types,780448,93870,182.12,21.9,4285400
2023,All animals,Pigs,Breeding sows and boars,All prescription types,16486,3339,599.27,121.37,27510
2023,All animals,Goats,All categories of use,All prescription types,49847,13666,426.99,117.06,116740
2023,All animals,Goats,Goats,All prescription types,49847,13666,426.99,117.06,116740
2023,Pets,All species,All categories of use,All prescription types,3535404,1360147,4331.91,1017.52,2407422
2023,Pets,All species,Equids,All prescription types,86106,2452,763.14,21.73,112831
2023,Pets,All species,Dogs,All prescription types,1284333,175063,2326.33,317.09,552085
2023,Pets,All species,Cats,All prescription types,2164965,1182632,1242.44,678.7,1742506
2023,Pets,Equids,All categories of use,All prescription types,86106,2452,763.14,21.73,112831
2023,Pets,Equids,Equids,All prescription types,86106,2452,763.14,21.73,112831
2023,Pets,Dogs,All categories of use,All prescription types,1284333,175063,2326.33,317.09,552085
2023,Pets,Dogs,Dogs,All prescription types,1284333,175063,2326.33,317.09,552085
2023,Pets,Cats,All categories of use,All prescription types,2164965,1182632,1242.44,678.7,1742506
2023,Pets,Cats,Cats,All prescription types,2164965,1182632,1242.44,678.7,1742506
