Year,Category,Class of active substances,Category of use,Critical active substance,Prescription type,Species,Amount of active ingredient (kg)
2021,All animals,Fluoroquinolonesᵏʳⁱᵗ,All categories of use,All types of active ingredients,All prescription types,All species,166.8976
2021,All animals,Fluoroquinolonesᵏʳⁱᵗ,All categories of use,All types of active ingredients,Single treatments companion animals,All species,16.2374
2021,All animals,Fluoroquinolonesᵏʳⁱᵗ,All categories of use,All types of active ingredients,Single treatments farm animals,All species,86.5449
2021,All animals,Fluoroquinolonesᵏʳⁱᵗ,All categories of use,All types of active ingredients,Oral group treatments,All species,31.0672
2021,All animals,Imidazoles,All categories of use,All types of active ingredients,All prescription types,All species,108.923
2021,All animals,Imidazoles,All categories of use,All types of active ingredients,Single treatments companion animals,All species,108.923
2021,All animals,Macrolidesᵏʳⁱᵗ,All categories of use,All types of active ingredients,Dispensing on stock,All species,33.3669
2021,All animals,Macrolidesᵏʳⁱᵗ,All categories of use,All types of active ingredients,All prescription types,All species,671.0344
2021,All animals,Macrolidesᵏʳⁱᵗ,All categories of use,All types of active ingredients,Single treatments companion animals,All species,9.9371
2021,All animals,Macrolidesᵏʳⁱᵗ,All categories of use,All types of active ingredients,Single treatments farm animals,All species,88.794
2021,All animals,Macrolidesᵏʳⁱᵗ,All categories of use,All types of active ingredients,Oral group treatments,All species,538.9364
2021,All animals,Penicillins,All categories of use,All types of active ingredients,Dispensing on stock,All species,2426.5551
2021,All animals,Penicillins,All categories of use,All types of active ingredients,All prescription types,All species,8349.7233
2021,All animals,Penicillins,All categories of use,All types of active ingredients,Single treatments companion animals,All species,550.0293
2021,All animals,Penicillins,All categories of use,All types of active ingredients,Single treatments farm animals,All species,2939.0867
2021,All animals,Penicillins,All categories of use,All types of active ingredients,Oral group treatments,All species,2434.0523
2021,All animals,Polymyxins,All categories of use,All types of active ingredients,Dispensing on stock,All species,11.1898
2021,All animals,Polymyxins,All categories of use,All types of active ingredients,All prescription types,All species,74.3965
2021,All animals,Polymyxins,All categories of use,All types of active ingredients,Single treatments companion animals,All species,0.0045
2021,All animals,Polymyxins,All categories of use,All types of active ingredients,Single treatments farm animals,All species,1.0216
2021,All animals,Polymyxins,All categories of use,All types of active ingredients,Oral group treatments,All species,62.1807
2021,All animals,Sulfonamides,All categories of use,All types of active ingredients,Dispensing on stock,All species,2633.4361
2021,All animals,Sulfonamides,All categories of use,All types of active ingredients,All prescription types,All species,6556.367
2021,All animals,Sulfonamides,All categories of use,All types of active ingredients,Single treatments companion animals,All species,873.9868
2021,All animals,Sulfonamides,All categories of use,All types of active ingredients,Single treatments farm animals,All species,737.85
2021,All animals,Sulfonamides,All categories of use,All types of active ingredients,Oral group treatments,All species,2311.0942
2021,All animals,Tetracyclines,All categories of use,All types of active ingredients,Dispensing on stock,All species,619.897
2021,All animals,Tetracyclines,All categories of use,All types of active ingredients,All prescription types,All species,4687.4585
2021,All animals,Tetracyclines,All categories of use,All types of active ingredients,Single treatments companion animals,All species,64.7891
2021,All animals,Tetracyclines,All categories of use,All types of active ingredients,Single treatments farm animals,All species,849.7793
2021,All animals,Tetracyclines,All categories of use,All types of active ingredients,Oral group treatments,All species,3152.993
2021,All animals,All active substance classes,Rearing laying hens and parent birds,No,All prescription types,All species,17.1546
2021,All animals,All active substance classes,Rearing laying hens and parent birds,No,Single treatments farm animals,All species,0.001
2021,All animals,All active substance classes,Rearing laying hens and parent birds,No,Oral group treatments,All species,17.1536
2021,All animals,Others¹,Rearing laying hens and parent birds,No,All prescription types,All species,0.0216
2021,All animals,Others¹,Rearing laying hens and parent birds,No,Oral group treatments,All species,0.0216
2021,All animals,Penicillins,Rearing laying hens and parent birds,No,All prescription types,All species,16.1683
2021,All animals,Penicillins,Rearing laying hens and parent birds,No,Oral group treatments,All species,16.1683
2021,All animals,Polymyxins,Rearing laying hens and parent birds,No,All prescription types,All species,0.8536
2021,All animals,Polymyxins,Rearing laying hens and parent birds,No,Oral group treatments,All species,0.8536
2021,All animals,Sulfonamides,Rearing laying hens and parent birds,No,All prescription types,All species,0.1079
2021,All animals,Sulfonamides,Rearing laying hens and parent birds,No,Oral group treatments,All species,0.1079
2021,All animals,Tetracyclines,Rearing laying hens and parent birds,No,All prescription types,All species,0.0032
2021,All animals,Tetracyclines,Rearing laying hens and parent birds,No,Single treatments farm animals,All species,0.001
2021,All animals,Tetracyclines,Rearing laying hens and parent birds,No,Oral group treatments,All species,0.0022
2021,All animals,All active substance classes,Rearing laying hens and parent birds,Yes,All prescription types,All species,1.2143
2021,All animals,All active substance classes,Rearing laying hens and parent birds,Yes,Single treatments farm animals,All species,0.0014
2021,All animals,All active substance classes,Rearing laying hens and parent birds,Yes,Oral group treatments,All species,1.2129
2021,All animals,Fluoroquinolonesᵏʳⁱᵗ,Rearing laying hens and parent birds,Yes,All prescription types,All species,1.2143
2021,All animals,Fluoroquinolonesᵏʳⁱᵗ,Rearing laying hens and parent birds,Yes,Single treatments farm animals,All species,0.0014
2021,All animals,Fluoroquinolonesᵏʳⁱᵗ,Rearing laying hens and parent birds,Yes,Oral group treatments,All species,1.2129
2021,All animals,All active substance classes,Rearing laying hens and parent birds,All types of active ingredients,All prescription types,All species,18.3689
2021,All animals,All active substance classes,Rearing laying hens and parent birds,All types of active ingredients,Single treatments farm animals,All species,0.0024
2021,All animals,All active substance classes,Rearing laying hens and parent birds,All types of active ingredients,Oral group treatments,All species,18.3665
2021,All animals,Others¹,Rearing laying hens and parent birds,All types of active ingredients,All prescription types,All species,0.0216
2021,All animals,Others¹,Rearing laying hens and parent birds,All types of active ingredients,Oral group treatments,All species,0.0216
2021,All animals,Fluoroquinolonesᵏʳⁱᵗ,Rearing laying hens and parent birds,All types of active ingredients,All prescription types,All species,1.2143
2021,All animals,Fluoroquinolonesᵏʳⁱᵗ,Rearing laying hens and parent birds,All types of active ingredients,Single treatments farm animals,All species,0.0014
2021,All animals,Fluoroquinolonesᵏʳⁱᵗ,Rearing laying hens and parent birds,All types of active ingredients,Oral group treatments,All species,1.2129
2021,All animals,Penicillins,Rearing laying hens and parent birds,All types of active ingredients,All prescription types,All species,16.1683
2021,All animals,Penicillins,Rearing laying hens and parent birds,All types of active ingredients,Oral group treatments,All species,16.1683
2021,All animals,Polymyxins,Rearing laying hens and parent birds,All types of active ingredients,All prescription types,All species,0.8536
2021,All animals,Polymyxins,Rearing laying hens and parent birds,All types of active ingredients,Oral group treatments,All species,0.8536
2021,All animals,Sulfonamides,Rearing laying hens and parent birds,All types of active ingredients,All prescription types,All species,0.1079
2021,All animals,Sulfonamides,Rearing laying hens and parent birds,All types of active ingredients,Oral group treatments,All species,0.1079
2021,All animals,Tetracyclines,Rearing laying hens and parent birds,All types of active ingredients,All prescription types,All species,0.0032
2021,All animals,Tetracyclines,Rearing laying hens and parent birds,All types of active ingredients,Single treatments farm animals,All species,0.001
2021,All animals,Tetracyclines,Rearing laying hens and parent birds,All types of active ingredients,Oral group treatments,All species,0.0022
2021,All animals,All active substance classes,Rearing calves,No,All prescription types,All species,558.1305
2021,All animals,All active substance classes,Rearing calves,No,Single treatments farm animals,All species,303.1672
2021,All animals,All active substance classes,Rearing calves,No,Oral group treatments,All species,254.9633
2021,All animals,Aminoglycosides,Rearing calves,No,All prescription types,All species,20.9264
2021,All animals,Aminoglycosides,Rearing calves,No,Single treatments farm animals,All species,20.8745
2021,All animals,Aminoglycosides,Rearing calves,No,Oral group treatments,All species,0.0519
2021,All animals,Amphenicols,Rearing calves,No,All prescription types,All species,49.5922
2021,All animals,Amphenicols,Rearing calves,No,Single treatments farm animals,All species,49.5922
2021,All animals,Others¹,Rearing calves,No,All prescription types,All species,6.8602
2021,All animals,Others¹,Rearing calves,No,Single treatments farm animals,All species,4.9002
2021,All animals,Others¹,Rearing calves,No,Oral group treatments,All species,1.96
2021,All animals,Cephalosporins 1st/2nd generation,Rearing calves,No,All prescription types,All species,0.04
2021,All animals,Cephalosporins 1st/2nd generation,Rearing calves,No,Single treatments farm animals,All species,0.04
2021,All animals,Penicillins,Rearing calves,No,All prescription types,All species,129.2468
2021,All animals,Penicillins,Rearing calves,No,Single treatments farm animals,All species,79.1209
2021,All animals,Penicillins,Rearing calves,No,Oral group treatments,All species,50.1259
2021,All animals,Polymyxins,Rearing calves,No,All prescription types,All species,0.2386
2021,All animals,Polymyxins,Rearing calves,No,Single treatments farm animals,All species,0.2142
2021,All animals,Polymyxins,Rearing calves,No,Oral group treatments,All species,0.0244
2021,All animals,Sulfonamides,Rearing calves,No,All prescription types,All species,203.5573
2021,All animals,Sulfonamides,Rearing calves,No,Single treatments farm animals,All species,97.0991
2021,All animals,Sulfonamides,Rearing calves,No,Oral group treatments,All species,106.4582
2021,All animals,Tetracyclines,Rearing calves,No,All prescription types,All species,147.669
2021,All animals,Tetracyclines,Rearing calves,No,Single treatments farm animals,All species,51.326
2021,All animals,Tetracyclines,Rearing calves,No,Oral group treatments,All species,96.343
2021,All animals,All active substance classes,Rearing calves,Yes,All prescription types,All species,32.3927
2021,All animals,All active substance classes,Rearing calves,Yes,Single treatments farm animals,All species,15.2387
2021,All animals,All active substance classes,Rearing calves,Yes,Oral group treatments,All species,17.154
2021,All animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Rearing calves,Yes,All prescription types,All species,0.4183
2021,All animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Rearing calves,Yes,Single treatments farm animals,All species,0.4183
2021,All animals,Fluoroquinolonesᵏʳⁱᵗ,Rearing calves,Yes,All prescription types,All species,7.684
2021,All animals,Fluoroquinolonesᵏʳⁱᵗ,Rearing calves,Yes,Single treatments farm animals,All species,7.684
2021,All animals,Macrolidesᵏʳⁱᵗ,Rearing calves,Yes,All prescription types,All species,24.2904
2021,All animals,Macrolidesᵏʳⁱᵗ,Rearing calves,Yes,Single treatments farm animals,All species,7.1364
2021,All animals,Macrolidesᵏʳⁱᵗ,Rearing calves,Yes,Oral group treatments,All species,17.154
