Month,Species,Category,Prescription type,Monthly prescriptions
03.2021,Cattle,All animals,All prescription types,70948
03.2021,Camelids,All animals,All prescription types,82
03.2021,Dogs,All animals,All prescription types,21664
03.2021,All species,Farm animals,All prescription types,80995
03.2021,Fish,Farm animals,All prescription types,6
03.2021,Rabbits,All animals,All prescription types,20
03.2021,Equids,Pets,Single treatments companion animals,1885
03.2021,Cats,All animals,Single treatments companion animals,29432
03.2021,Animal species nZO,All animals,Single treatments companion animals,3358
03.2021,Dogs,All animals,Single treatments companion animals,21664
03.2021,Animal species nZO,Pets,Single treatments companion animals,3358
03.2021,Cats,Pets,Single treatments companion animals,29432
03.2021,Dogs,Pets,Single treatments companion animals,21664
03.2021,All species,Pets,Single treatments companion animals,56339
03.2021,Equids,All animals,Single treatments companion animals,1885
03.2021,All species,All animals,Single treatments companion animals,56339
03.2021,Camelids,All animals,Single treatments farm animals,82
03.2021,Poultry,Farm animals,Single treatments farm animals,7
03.2021,Cattle,All animals,Single treatments farm animals,57734
03.2021,Game animals,Farm animals,Single treatments farm animals,1
03.2021,All species,Farm animals,Single treatments farm animals,61884
03.2021,Camelids,Farm animals,Single treatments farm animals,82
03.2021,Rabbits,Farm animals,Single treatments farm animals,2
03.2021,Game animals,All animals,Single treatments farm animals,1
03.2021,Rabbits,All animals,Single treatments farm animals,2
03.2021,Cattle,Farm animals,Single treatments farm animals,57734
03.2021,Sheep,Farm animals,Single treatments farm animals,2410
03.2021,Goats,All animals,Single treatments farm animals,1129
03.2021,Goats,Farm animals,Single treatments farm animals,1129
03.2021,Pigs,Farm animals,Single treatments farm animals,519
03.2021,All species,All animals,Single treatments farm animals,61884
03.2021,Pigs,All animals,Single treatments farm animals,519
03.2021,Poultry,All animals,Single treatments farm animals,7
03.2021,Sheep,All animals,Single treatments farm animals,2410
03.2021,Goats,All animals,Oral group treatments,5
03.2021,Fish,All animals,Oral group treatments,5
03.2021,Sheep,Farm animals,Oral group treatments,3
03.2021,Poultry,All animals,Oral group treatments,99
03.2021,Rabbits,Farm animals,Oral group treatments,5
03.2021,Pigs,All animals,Oral group treatments,175
03.2021,Sheep,All animals,Oral group treatments,3
03.2021,Goats,Farm animals,Oral group treatments,5
03.2021,All species,Farm animals,Oral group treatments,970
03.2021,Cattle,All animals,Oral group treatments,678
03.2021,Poultry,Farm animals,Oral group treatments,99
03.2021,Cattle,Farm animals,Oral group treatments,678
03.2021,Pigs,Farm animals,Oral group treatments,175
03.2021,Rabbits,All animals,Oral group treatments,5
03.2021,All species,All animals,Oral group treatments,970
03.2021,Fish,Farm animals,Oral group treatments,5
04.2021,Goats,Farm animals,Dispensing on stock,126
04.2021,Poultry,All animals,Dispensing on stock,1
04.2021,All species,Farm animals,Dispensing on stock,15612
04.2021,Cattle,All animals,Dispensing on stock,10797
04.2021,Rabbits,All animals,Dispensing on stock,5
04.2021,Cattle,Farm animals,Dispensing on stock,10797
04.2021,Poultry,Farm animals,Dispensing on stock,1
04.2021,Animal species nZO,Farm animals,Dispensing on stock,2775
04.2021,Sheep,All animals,Dispensing on stock,325
04.2021,All species,All animals,Dispensing on stock,15612
04.2021,Pigs,Farm animals,Dispensing on stock,1583
04.2021,Goats,All animals,Dispensing on stock,126
04.2021,Pigs,All animals,Dispensing on stock,1583
04.2021,Animal species nZO,All animals,Dispensing on stock,2775
04.2021,Rabbits,Farm animals,Dispensing on stock,5
04.2021,Sheep,Farm animals,Dispensing on stock,325
04.2021,Pigs,Farm animals,All prescription types,2172
04.2021,Animal species nZO,Pets,All prescription types,3045
04.2021,Dogs,Pets,All prescription types,19704
04.2021,All species,Pets,All prescription types,51047
04.2021,Equids,Pets,All prescription types,1957
04.2021,All species,All animals,All prescription types,119825
04.2021,Equids,All animals,All prescription types,1957
04.2021,Poultry,All animals,All prescription types,78
04.2021,Goats,Farm animals,All prescription types,1053
04.2021,Cattle,All animals,All prescription types,60507
04.2021,Cats,Pets,All prescription types,26341
04.2021,Fish,All animals,All prescription types,5
04.2021,Pigs,All animals,All prescription types,2172
04.2021,Sheep,Farm animals,All prescription types,2106
04.2021,Cattle,Farm animals,All prescription types,60507
04.2021,Animal species nZO,All animals,All prescription types,5820
04.2021,Rabbits,Farm animals,All prescription types,11
04.2021,Camelids,Farm animals,All prescription types,69
04.2021,Goats,All animals,All prescription types,1053
04.2021,Cats,All animals,All prescription types,26341
