"TIMESTEP","BVD_AMPEL","N_FARMS"
"26.04.2024","green","28'923"
"26.04.2024","orange","5'564"
"26.04.2024","red","190"
"27.04.2024","green","29'170"
"27.04.2024","orange","5'344"
"27.04.2024","red","162"
"28.04.2024","green","29'170"
"28.04.2024","orange","5'345"
"28.04.2024","red","162"
"29.04.2024","green","29'169"
"29.04.2024","orange","5'355"
"29.04.2024","red","160"
"30.04.2024","green","29'177"
"30.04.2024","orange","5'347"
"30.04.2024","red","160"
"01.05.2024","green","29'184"
"01.05.2024","orange","5'339"
"01.05.2024","red","159"
"02.05.2024","green","29'188"
"02.05.2024","orange","5'332"
"02.05.2024","red","162"
"03.05.2024","green","29'185"
"03.05.2024","orange","5'335"
"03.05.2024","red","162"
"04.05.2024","green","29'193"
"04.05.2024","orange","5'328"
"04.05.2024","red","162"
"05.05.2024","green","29'198"
"05.05.2024","orange","5'325"
"05.05.2024","red","162"
"06.05.2024","green","29'195"
"06.05.2024","orange","5'328"
"06.05.2024","red","162"
"07.05.2024","green","29'198"
"07.05.2024","orange","5'325"
"07.05.2024","red","162"
"08.05.2024","green","29'198"
"08.05.2024","orange","5'325"
"08.05.2024","red","162"
"09.05.2024","green","29'208"
"09.05.2024","orange","5'317"
"09.05.2024","red","161"
"10.05.2024","green","29'206"
"10.05.2024","orange","5'320"
"10.05.2024","red","160"
"11.05.2024","green","29'217"
"11.05.2024","orange","5'309"
"11.05.2024","red","159"
"12.05.2024","green","29'217"
"12.05.2024","orange","5'311"
"12.05.2024","red","157"
"13.05.2024","green","29'215"
"13.05.2024","orange","5'313"
"13.05.2024","red","157"
"14.05.2024","green","29'219"
"14.05.2024","orange","5'310"
"14.05.2024","red","156"
"15.05.2024","green","29'225"
"15.05.2024","orange","5'304"
"15.05.2024","red","157"
"16.05.2024","green","29'238"
"16.05.2024","orange","5'292"
"16.05.2024","red","157"
"17.05.2024","green","29'244"
"17.05.2024","orange","5'287"
"17.05.2024","red","156"
"18.05.2024","green","29'243"
"18.05.2024","orange","5'285"
"18.05.2024","red","155"
"19.05.2024","green","29'242"
"19.05.2024","orange","5'284"
"19.05.2024","red","156"
"20.05.2024","green","29'244"
"20.05.2024","orange","5'282"
"20.05.2024","red","157"
"21.05.2024","green","29'244"
"21.05.2024","orange","5'282"
"21.05.2024","red","157"
"22.05.2024","green","29'579"
"22.05.2024","orange","4'902"
"22.05.2024","red","156"
"23.05.2024","green","29'587"
"23.05.2024","orange","4'896"
"23.05.2024","red","156"
"24.05.2024","green","29'593"
"24.05.2024","orange","4'896"
"24.05.2024","red","154"
"25.05.2024","green","29'594"
"25.05.2024","orange","4'893"
"25.05.2024","red","152"
"26.05.2024","green","29'596"
"26.05.2024","orange","4'896"
"26.05.2024","red","149"
"27.05.2024","green","29'596"
"27.05.2024","orange","4'896"
"27.05.2024","red","149"
"28.05.2024","green","29'505"
"28.05.2024","orange","4'823"
"28.05.2024","red","148"
"29.05.2024","green","29'505"
"29.05.2024","orange","4'821"
"29.05.2024","red","150"
"30.05.2024","green","29'505"
"30.05.2024","orange","4'821"
"30.05.2024","red","150"
"31.05.2024","green","29'510"
"31.05.2024","orange","4'817"
"31.05.2024","red","147"
"01.06.2024","green","29'510"
"01.06.2024","orange","4'817"
"01.06.2024","red","148"
"02.06.2024","green","29'506"
"02.06.2024","orange","4'820"
"02.06.2024","red","148"
"03.06.2024","green","29'506"
"03.06.2024","orange","4'822"
"03.06.2024","red","148"
"04.06.2024","green","29'513"
"04.06.2024","orange","4'815"
"04.06.2024","red","148"
"05.06.2024","green","29'522"
"05.06.2024","orange","4'806"
"05.06.2024","red","148"
"06.06.2024","green","29'521"
"06.06.2024","orange","4'809"
"06.06.2024","red","147"
"07.06.2024","green","29'268"
"07.06.2024","orange","5'069"
"07.06.2024","red","146"
"08.06.2024","green","29'270"
"08.06.2024","orange","5'066"
"08.06.2024","red","146"
"09.06.2024","green","29'276"
"09.06.2024","orange","5'061"
"09.06.2024","red","145"
"10.06.2024","green","29'279"
"10.06.2024","orange","5'060"
"10.06.2024","red","144"
"11.06.2024","green","29'283"
"11.06.2024","orange","5'056"
"11.06.2024","red","144"
"12.06.2024","green","29'280"
"12.06.2024","orange","5'061"
"12.06.2024","red","143"
"13.06.2024","green","29'277"
"13.06.2024","orange","5'064"
"13.06.2024","red","144"
"14.06.2024","green","29'280"
"14.06.2024","orange","5'060"
"14.06.2024","red","144"
"15.06.2024","green","29'285"
"15.06.2024","orange","5'058"
"15.06.2024","red","141"
"16.06.2024","green","29'287"
"16.06.2024","orange","5'057"
"16.06.2024","red","140"
"17.06.2024","green","29'292"
"17.06.2024","orange","5'052"
"17.06.2024","red","140"
"18.06.2024","green","29'295"
"18.06.2024","orange","5'050"
"18.06.2024","red","140"
"19.06.2024","green","29'298"
"19.06.2024","orange","5'047"
"19.06.2024","red","140"
"20.06.2024","green","29'333"
"20.06.2024","orange","5'013"
"20.06.2024","red","139"
"21.06.2024","green","29'340"
"21.06.2024","orange","5'007"
"21.06.2024","red","138"
"22.06.2024","green","29'341"
"22.06.2024","orange","5'006"
"22.06.2024","red","138"
"23.06.2024","green","29'341"
"23.06.2024","orange","5'006"
"23.06.2024","red","138"
"24.06.2024","green","29'344"
"24.06.2024","orange","5'003"
"24.06.2024","red","138"
"25.06.2024","green","29'345"
"25.06.2024","orange","5'002"
"25.06.2024","red","138"
"26.06.2024","green","29'345"
"26.06.2024","orange","5'000"
"26.06.2024","red","138"
"27.06.2024","green","29'344"
"27.06.2024","orange","5'003"
"27.06.2024","red","138"
"28.06.2024","green","29'093"
"28.06.2024","orange","5'322"
"28.06.2024","red","71"
"29.06.2024","green","29'106"
"29.06.2024","orange","5'307"
"29.06.2024","red","72"
"30.06.2024","green","29'363"
"30.06.2024","orange","4'982"
"30.06.2024","red","139"
"01.07.2024","green","29'363"
"01.07.2024","orange","4'982"
"01.07.2024","red","139"
"02.07.2024","green","29'366"
"02.07.2024","orange","4'980"
"02.07.2024","red","138"
"03.07.2024","green","29'372"
"03.07.2024","orange","4'976"
"03.07.2024","red","138"
"04.07.2024","green","29'372"
"04.07.2024","orange","4'978"
"04.07.2024","red","137"
"05.07.2024","green","29'363"
"05.07.2024","orange","4'987"
"05.07.2024","red","137"
"06.07.2024","green","29'363"
"06.07.2024","orange","4'988"
"06.07.2024","red","137"
"07.07.2024","green","29'371"
"07.07.2024","orange","4'981"
"07.07.2024","red","136"
"08.07.2024","green","29'380"
"08.07.2024","orange","4'972"
"08.07.2024","red","136"
"09.07.2024","green","29'377"
"09.07.2024","orange","4'975"
"09.07.2024","red","136"
"10.07.2024","green","29'381"
"10.07.2024","orange","4'971"
"10.07.2024","red","135"
"11.07.2024","green","29'389"
"11.07.2024","orange","4'964"
"11.07.2024","red","134"
"12.07.2024","green","29'385"
"12.07.2024","orange","4'968"
"12.07.2024","red","134"
"13.07.2024","green","29'397"
"13.07.2024","orange","4'958"
"13.07.2024","red","132"
"14.07.2024","green","29'400"
"14.07.2024","orange","4'954"
"14.07.2024","red","133"
"15.07.2024","green","29'406"
"15.07.2024","orange","4'948"
"15.07.2024","red","133"
"16.07.2024","green","29'426"
"16.07.2024","orange","4'928"
"16.07.2024","red","133"
"17.07.2024","green","29'430"
"17.07.2024","orange","4'924"
"17.07.2024","red","133"
"18.07.2024","green","29'431"
"18.07.2024","orange","4'920"
"18.07.2024","red","135"
