Kanton,Fundort,Probenahme-Datum,Vogelart,Status Wildvogel,Ergebnis,Pathogenitaet,Subtyp
AG,"auf der Aare, Rothrist",2023-02-25,Kormoran,Totfund Einzeltier,negativ,,
BS,"Basel,Terrasse Zoo Restaurant, Binningerstrasse 40",2023-02-26,Graureiher,Lebendfang verletztes Tier,negativ,,
ZG,Industriegebiet,2023-02-26,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
AG,,2023-02-26,Rotkehlchen,Totfund Einzeltier,negativ,,
AG,Herznach,2023-02-27,Rotmilan,Totfund Einzeltier,negativ,,
SG,"Weesen, Linthpromenade ",2023-02-27,Höckerschwan,Totfund Einzeltier,negativ,,
SH,"Hemishofen, am Raatli  ",2023-02-27,Möwe,Lebendfang klinisch krank,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Horgen, Zürichsee",2023-03-01,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Küsnacht, Zürichsee",2023-03-01,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Küsnacht, Zürichsee",2023-03-01,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Küsnacht, Zürichsee",2023-03-01,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Thalwil, Zürichsee",2023-03-01,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
BE,"Neuenburgstrasse, Biel",2023-03-01,Lachmöwe,Totfund Einzeltier,negativ,,
ZH,"Küsnacht, Zürichsee",2023-03-01,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Thalwil, Zürichsee",2023-03-01,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Horgen, Zürichsee",2023-03-01,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Küsnacht, Zürichsee",2023-03-01,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Horgen, Zürichsee",2023-03-01,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Oberrieden, Zürichsee",2023-03-01,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,Dietikon (Höhe Bahnhof Glanzenberg),2023-03-01,Höckerschwan,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
LU,an gleicher Stelle schon Vögel gefunden in letzten Tagen,2023-03-01,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
SH,"Stein am Rhein, Metzggass am Rhein ",2023-03-01,Lachmöwe,Totfund Einzeltier,negativ,,
SH,"Schaffhausen (Herblingen,Spitzwiesen)  ",2023-03-01,Mäusebussard,Totfund Einzeltier,negativ,,
ZH,"Horgen, Zürichsee",2023-03-01,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
SH,"Undermüli am Rhein, 8260 Stein am Rhein",2023-03-01,Mäusebussard,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
SO,"Niedergösgen, Nähe Wasserkraftwerk   ",2023-03-01,Möwe,Jagdprobe klinisch krank,negativ,,
TG,Romanshorn (Hafenbecken SBS Fährehafen)  ,2023-03-01,Lachmöwe,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,"Küsnacht, Zürichsee",2023-03-01,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
TG,Romanshorn (Hafenbecken SBS Fährehafen)  ,2023-03-01,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
VD,"Yverdon-les-Bains, Parc des rives  ",2023-03-01,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
VD,"Yverdon-les-Bains, Parc des rives  ",2023-03-01,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Zürich, Nähe Zürcher Yachtclub",2023-03-01,Höckerschwan,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
TG,Romanshorn (Hafenbecken SBS Fährehafen)  ,2023-03-01,Zwergtaucher,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
TG,Romanshorn (Hafenbecken SBS Fährehafen)  ,2023-03-01,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
TG,Romanshorn (Hafenbecken SBS Fährehafen)  ,2023-03-01,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
TG,Romanshorn (Hafenbecken SBS Fährehafen)  ,2023-03-01,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
NE,"Neuchâtel, Port",2023-03-02,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
SH,"Stein am Rhein, Bootshafen",2023-03-02,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
TG,"Ermatingen, Schiffländestrasse",2023-03-02,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
TG,"Ermatingen, Schiffländestrasse",2023-03-02,Ralle,Totfund mehrere Tiere an einem Ort,negativ,,
VD,"Pully, Plage de la Tour Haldimand",2023-03-02,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
BS,"Basel, Binningerstrasse 40, Zoo Areal ",2023-03-02,Graureiher,Totfund Einzeltier,negativ,,
AG,?,2023-03-02,Höckerschwan,Totfund Einzeltier,negativ,,
BE,,2023-03-02,Lachmöwe,Lebendfang klinisch krank,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Zürich, oberhalb Fischerstube",2023-03-03,Höckerschwan,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
VD,"Vevey, Port ",2023-03-03,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
LU,"Baldegg, Badeinsel Seebadi",2023-03-03,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
NE,Ponton A du port du Nid-du-Cro,2023-03-03,Lachmöwe,Totfund Einzeltier,negativ,,
NE,"Plage de Colombier, camping",2023-03-03,Lachmöwe,Lebendfang klinisch krank,positiv,highly pathogenic avian influenza (HPAI),H5N1
LU,"Baldegg, Badeinsel Seebadi",2023-03-03,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
LU,"Baldegg, Badeinsel Seebadi",2023-03-03,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
BS,"Basel, Erlenparkweg 110",2023-03-03,Graureiher,Totfund Einzeltier,negativ,,
VD,"Lausanne, Jardins familiaux des falaises",2023-03-03,Aaskrähe,Totfund Einzeltier,negativ,,
FR,,2023-03-03,Möwe,Totfund Einzeltier,negativ,,
TG,"Kreuzlingen, Hafen Seegarten",2023-03-04,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
SH,Schaffhausen (Kraftwerk),2023-03-04,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
TG,"Kreuzlingen, Hafen Seegarten",2023-03-04,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
TG,"Kreuzlingen, Hafen Seegarten",2023-03-04,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
TG,"Kreuzlingen, Hafen Seegarten",2023-03-04,Lachmöwe,Totfund mehrere Tiere an einem Ort,negativ,,
VD,"Jouxtens-Mézery, chemin de la Rueyre 105",2023-03-04,Sturmmöwe,Lebendfang klinisch krank,negativ,,
VD,Plage de Lutry,2023-03-05,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"8037 Zürich, Kraftwerk Letten",2023-03-06,Höckerschwan,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"8606 Greifensee, 693000 / 247830",2023-03-06,Graureiher,Lebendfang verletztes Tier,negativ,,
BL,"Birsfelden, Hofstrasse 82, Kraftwerk",2023-03-06,Höckerschwan,Totfund Einzeltier,negativ,,
ZH,"8037 Zürich, Kraftwerk Letten",2023-03-06,Blässhuhn,Totfund mehrere Tiere an einem Ort,negativ,,
BE,,2023-03-06,Höckerschwan,Totfund Einzeltier,negativ,,
TG,"Altnau, oberhalb Hafen",2023-03-06,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
TG,"Altnau, oberhalb Hafen",2023-03-06,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
VD,"1009 Pully, plage de Chamblandes",2023-03-06,Haubentaucher,Totfund Einzeltier,negativ,,
ZH,"8037 Zürich, Kraftwerk Letten",2023-03-06,Blässhuhn,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,"Wädenswil, Zürichsee",2023-03-07,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Wädenswil, Zürichsee ",2023-03-07,Lachmöwe,Totfund Einzeltier,negativ,,
ZH,"Wädenswil, Zürichsee (Engelshaab)",2023-03-07,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Rüschlikon, Zürichsee",2023-03-07,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Thalwil, Seestrasse 88, in Abfalleimer gefunden",2023-03-07,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Rüschlikon, Zürichsee",2023-03-07,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Küsnacht, Zürichsee",2023-03-07,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Rüschlikon, Zürichsee",2023-03-07,Blässhuhn,Totfund mehrere Tiere an einem Ort,negativ,,
NE,"Les Ponts-de-Martel, Grand-Rue 39",2023-03-07,Mäusebussard,Totfund Einzeltier,negativ,,
NE,"2000 Neuchâtel, Port, coté Jeunes Rives",2023-03-07,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
AG,Hallwilersee / im Wasser,2023-03-07,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
AG,Hallwilersee / im Wasser,2023-03-07,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Rüschlikon, Zürichsee",2023-03-07,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Küsnacht, Zürichsee",2023-03-07,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
VD,"Grandson, Port",2023-03-08,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
SZ,"8852 Lachen, Seeplatz",2023-03-08,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
SZ,"8852 Lachen, Seeplatz",2023-03-08,Lachmöwe,Totfund mehrere Tiere an einem Ort,negativ,,
SZ,"8852 Lachen, Seeplatz",2023-03-08,Lachmöwe,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,"8037 Zürich, Lettenwehr, Limmat",2023-03-08,Höckerschwan,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"8001 Zürich, Utoquai 50, Bad Utoquai, Zürichsee",2023-03-08,Höckerschwan,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
BE,,2023-03-08,Höckerschwan,Totfund Einzeltier,negativ,,
VD,Coinsins,2023-03-09,Amsel,Lebendfang verletztes Tier,negativ,,
VD,Coinsins,2023-03-09,Amsel,Lebendfang verletztes Tier,negativ,,
ZH,"Uster, Grabenried, Alteriedikerbachweg",2023-03-09,Aaskrähe,Totfund Einzeltier,negativ,,
FR,,2023-03-09,Knäkente,Totfund Einzeltier,negativ,,
NE,2016 Cortaillod Port ,2023-03-09,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
TI,6900 Lugano,2023-03-09,Haubentaucher,Totfund Einzeltier,negativ,,
VD,"Consice, Lieu-dit Fin de Lance",2023-03-09,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Uster, Breitbrunnen Uferweg",2023-03-09,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Uster, Pumpwerk Uferweg",2023-03-09,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"8712 Stäfa, Seestrasse 96",2023-03-10,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"8712 Stäfa, Seestrasse 96",2023-03-10,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,Zürich EWZ Kraftwerk Letten,2023-03-10,Blässhuhn,Totfund mehrere Tiere an einem Ort,negativ,,
VD,Chavannes-près-Rennens Avenue de la Gare 34,2023-03-10,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,Zürich EWZ Kraftwerk Letten,2023-03-10,Höckerschwan,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
SH,Schaffhausen (Kraftwerk)  ,2023-03-10,Weisskopfmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
NE,2000 Neuchâtel Nid du Crô,2023-03-10,Blässhuhn,Totfund Einzeltier,negativ,,
BE,,2023-03-10,Höckerschwan,Totfund Einzeltier,negativ,,
SH,Schaffhausen Rheinhof / Beckenburg,2023-03-10,Weisskopfmöwe,Totfund Einzeltier,negativ,,
NE,2012 Auvernier Pêcherie Junod,2023-03-13,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
NE,2003 Serrières Plage ,2023-03-13,Lachmöwe,Totfund Einzeltier,negativ,,
NE,Chezard St. Martin Ami-Girard ,2023-03-13,Krähen/Raben,Lebendfang verletztes Tier,negativ,,
NE,2003 Serrières Port ,2023-03-13,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
NE,jardin botanique,2023-03-13,Graureiher,Lebendfang verletztes Tier,negativ,,
AG,Abfluss Hallwilersee,2023-03-13,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
AG,Abfluss Hallwilersee,2023-03-13,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
NE,2012 Auvernier Rives,2023-03-13,Haubentaucher,Totfund Einzeltier,negativ,,
ZH,"Erlenbach, Zürichsee",2023-03-14,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Zollikon, Zürichsee, Seebad",2023-03-14,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Thalwil, Strandbad Bürger II",2023-03-14,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Oberrieden, Zürichsee",2023-03-14,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Küsnacht, Zürichsee,Höhe Heslibach",2023-03-14,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Küsnacht, Zürichsee, Höhe Heslibach",2023-03-14,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Greifensee, Seestrasse bei Friedhof Greifensee",2023-03-14,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Greifensee, Seestrasse bei Friedhof Greifensee",2023-03-14,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"8610 Uster, Brandstrasse",2023-03-14,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
SZ,Urtenen Bahnhof RBS,2023-03-14,Türkentaube,Totfund Einzeltier,negativ,,
ZH,"8625 Gossau, Grütstrasse 86, Svaldi Sägerei",2023-03-14,Kormoran,Totfund Einzeltier,negativ,,
ZH,"Meilen, Zürichsee, Nähe Rohrenhaab",2023-03-14,Haubentaucher,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"8606 Greifensee, Tumigerstrasse 38",2023-03-14,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
SZ,"Urtenen, Feldeggstrasse 30",2023-03-14,Taube,keine Angaben,negativ,,
SZ,Biel Rue de l’hôpital 7 ,2023-03-14,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
SZ,Lüscherz,2023-03-14,Höckerschwan,Totfund Einzeltier,negativ,,
LU,6006 Luzern Nationalquai am See,2023-03-14,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
BS,4053 Basel Reinacherstrasse 138,2023-03-14,Graureiher,Totfund Einzeltier,negativ,,
ZH,8037 Zürich Auffangbecken Letten,2023-03-15,Gänsesäger,Totfund Einzeltier,negativ,,
VD,1814 La Tour de Peilz sur le Lac Léman,2023-03-15,Höckerschwan,Totfund Einzeltier,negativ,,
SZ,"Biel, Chemin des Aulnes 15a",2023-03-15,Lachmöwe,Lebendfang klinisch krank,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,8606 Werrikon-Uster Werriker Riet,2023-03-15,Storch,Lebendfang klinisch krank,positiv,highly pathogenic avian influenza (HPAI),H5N1
GE,Port Gitana,2023-03-15,Stockente,Totfund Einzeltier,negativ,,
BS,4054 Zoo Basel Binningerstrasse 40 Badebecken Elefanten,2023-03-15,Graureiher,Totfund Einzeltier,negativ,,
NE,2068 Hauterive Laténium ,2023-03-15,Mäusebussard,Totfund Einzeltier,negativ,,
ZH,Küsnacht Strandbad Seestrasse 238,2023-03-16,Haubentaucher,Lebendfang klinisch krank,negativ,,
NE,Neuchâtel Port,2023-03-16,Lachmöwe,Totfund Einzeltier,negativ,,
NE,Auvernier Port,2023-03-16,Lachmöwe,Totfund Einzeltier,negativ,,
NE,Le Locle Ch. du Chalet,2023-03-16,Rotmilan,Totfund Einzeltier,negativ,,
LU,6003 Luzern Reusssteg Kleinwasserkraftwerk,2023-03-16,Höckerschwan,Totfund Einzeltier,negativ,,
BS,4054 Basel Bernerring 71-75,2023-03-16,Krähen/Raben,Totfund Einzeltier,negativ,,
NE,2068 Hautrives Lac,2023-03-16,Lachmöwe,Totfund Einzeltier,negativ,,
FR,"Abbaye de Maigrauge, Fribourg",2023-03-17,Krähen/Raben,Lebendfang klinisch krank,negativ,,
ZH,8617 Mönchaltdorf Brandtrasse 2,2023-03-17,Weissstorch,Jagdprobe klinisch krank,positiv,highly pathogenic avian influenza (HPAI),H5N1
LU,Luzern auf Ufermauer bei bei PP Inseli,2023-03-18,Kolbenente,Lebendfang klinisch krank,negativ,,
SG,Garten von Wohnhaus ,2023-03-18,Lachmöwe,Lebendfang klinisch krank,negativ,,
NE,"Gorgier, Chemin de la Grève",2023-03-20,Weisskopfmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,Uster Rellikerstrasse Aaspitz,2023-03-20,Storch,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,Seegräben Strandbadweg Bootssteg Pfäffikersee,2023-03-20,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
NE,St-Aubin,2023-03-20,Lachmöwe,Totfund Einzeltier,negativ,,
BS,"Birsigstrasse 96, 4054 Basel",2023-03-20,Elster,Totfund Einzeltier,negativ,,
NE,"Neuchâtel, les Jeunes-Rives a 200 m de la foulque",2023-03-20,Lachmöwe,Totfund mehrere Tiere an einem Ort,negativ,,
NE,"Neuchâtel, les Jeunes-Rives, la petite plage",2023-03-20,Blässhuhn,Totfund mehrere Tiere an einem Ort,negativ,,
NE,"Serrières, dans la petite crique",2023-03-20,Lachmöwe,Totfund Einzeltier,negativ,,
NE,Bevaix,2023-03-20,Haubentaucher,Totfund Einzeltier,negativ,,
ZH,am Zürichsee in Höhe Richterswil,2023-03-21,Lachmöwe,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,"am Zürichsee in Oberrieden: Strandbad, Floss",2023-03-21,Lachmöwe,Totfund Einzeltier,negativ,,
ZH,am Zürichsee in Höhe Richterswil,2023-03-21,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,am Zürichsee in Höhe Richterswil,2023-03-21,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,am Zürichsee in Höhe Richterswil,2023-03-21,Lachmöwe,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,am Zürichsee in Wädenswil,2023-03-21,Kormoran,Totfund Einzeltier,negativ,,
ZH,"8002 Zürich, Mythenquai 87",2023-03-21,Höckerschwan,Totfund Einzeltier,negativ,,
ZH,Zürichsee (Engelhaab/ZSG-Steg) in Wädenswil,2023-03-21,Haubentaucher,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,am Zürichsee in Höhe Richterswil,2023-03-21,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,am Zürichsee (Engelhaab / ZSG-Steg) in Wädenswil,2023-03-21,Blässhuhn,Totfund mehrere Tiere an einem Ort,negativ,,
SZ,"Kilchberg Zürichsee, Höhe Seestrasse 89",2023-03-21,Schwan,Jagdprobe klinisch krank,positiv,highly pathogenic avian influenza (HPAI),H5N1
SZ,Pfäffikon,2023-03-21,Lachmöwe,keine Angaben,positiv,highly pathogenic avian influenza (HPAI),H5N1
SZ,"Kilchberg Zürichsee, Höhe Seestrasse 89",2023-03-21,Haubentaucher,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
NE,la Pointe du Grain,2023-03-21,Höckerschwan,Lebendfang klinisch krank,negativ,,
LU,"Bootssteg, Sempach",2023-03-21,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
LU,"Bootssteg, Sempach",2023-03-21,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,am Zürichsee in Rüschlikon (ZSG-Steg),2023-03-21,Haubentaucher,Totfund Einzeltier,negativ,,
ZH,8610 Uster Brunnenwiesenstrasse 40,2023-03-22,Storch,Lebendfang klinisch krank,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,8037 Kraftwerk Letten Zürich,2023-03-22,Höckerschwan,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,8037 Kraftwerk Letten Zürich,2023-03-22,Höckerschwan,Totfund mehrere Tiere an einem Ort,positiv,,
SZ,8462 Rheinau Nägelisegg / Bergholz,2023-03-23,Rotmilan,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Küsnacht, Seestrasse 42",2023-03-25,Höckerschwan,Lebendfang klinisch krank,positiv,highly pathogenic avian influenza (HPAI),H5N1
NE,"St. Blaise, Port",2023-03-27,Lachmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Kraftwerk Letten, 8037 Zürich",2023-03-27,Höckerschwan,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
NE,"2072 St-Blaise, Port",2023-03-28,Haubentaucher,Totfund Einzeltier,negativ,,
AG,47.496914/8.236078,2023-03-28,Höckerschwan,Totfund Einzeltier,negativ,,
BE,"Römerweg 3, 3283 Kallnach",2023-03-29,Taube,Totfund Einzeltier,negativ,,
BE,"Ufer, Bielersee",2023-03-29,Möwe,Totfund Einzeltier,negativ,,
GR,"Schwiwinkel, Jenins",2023-03-30,Turmfalke,Totfund Einzeltier,negativ,,
ZH,"8608 Bubikon, Hüslistrasse 11",2023-03-30,Haussperling,Totfund mehrere Tiere an einem Ort,negativ,,
BS,"Binningerstrasse 40, 4054 Basel",2023-03-31,Ralle,Totfund Einzeltier,negativ,,
BL,,2023-04-03,Graureiher,Totfund Einzeltier,negativ,,
BL,"Rainstrasse, Münchenstein",2023-04-03,Ralle,Totfund Einzeltier,negativ,,
NE,Serriéres,2023-04-03,Höckerschwan,Lebendfang klinisch krank,negativ,,
SO,,2023-04-04,Höckerschwan,Totfund Einzeltier,negativ,,
AG,,2023-04-05,Turmfalke,Totfund Einzeltier,negativ,,
ZH,"Küsnachter-Horn, 8700 Küsnacht",2023-04-05,Haubentaucher,Totfund Einzeltier,negativ,,
ZH,Richterswil Zürichsee,2023-04-05,Stockente,Totfund Einzeltier,negativ,,
NE,"Port, Neuchâtel",2023-04-06,Haubentaucher,Totfund Einzeltier,negativ,,
ZH,"Zürichsee, Wädenswil ",2023-04-08,Höckerschwan,Totfund Einzeltier,negativ,,
NE,"Piscine, 2525 Le Landeron",2023-04-11,Lachmöwe,Totfund Einzeltier,negativ,,
NE,"Rue des Saars 119, 2000 Neuchâtel",2023-04-11,Weisskopfmöwe,Totfund Einzeltier,negativ,,
BE,,2023-04-11,Höckerschwan,Totfund Einzeltier,negativ,,
GR,"Golfseeli, 7503 Samedan",2023-04-12,Graureiher,Totfund mehrere Tiere an einem Ort,negativ,,
FR,"La Sauge, Canal de la Broye",2023-04-13,Höckerschwan,Totfund Einzeltier,negativ,,
LU,6105 Schachen,2023-04-13,Stockente,Totfund Einzeltier,negativ,,
AG,keine Angaben,2023-04-14,Meise,Lebendfang klinisch krank,negativ,,
BE,Koordinaten werden dem AVET nachgereicht,2023-04-18,Möwe,Totfund Einzeltier,negativ,,
NE,"Philippe Morins, Neuchâtel",2023-04-18,Kormoran,Totfund Einzeltier,negativ,,
NE,"rue de la Corbatière, 2314 La Sagne",2023-04-18,Turmfalke,Totfund Einzeltier,negativ,,
SG,Hafenmole Staad,2023-04-18,Höckerschwan,Totfund Einzeltier,negativ,,
