Kanton,Fundort,Probenahme-Datum,Vogelart,Status Wildvogel,Ergebnis,Pathogenitaet,Subtyp
LU,Altishofen,2021-02-23,Mäusebussard,Totfund mehrere Tiere an einem Ort,negativ,,
LU,Altishofen,2021-02-23,Mäusebussard,Totfund mehrere Tiere an einem Ort,negativ,,
SH,Kraftwerk Schaffhausen,2021-02-26,Blässhuhn,Totfund Einzeltier,negativ,,
TG,Romanshorn,2021-02-28,Blässhuhn,Totfund Einzeltier,negativ,,
ZH,Glattbrugg,2021-03-02,Höckerschwan,Totfund Einzeltier,negativ,,
BS,"Basel, Lange Erlen",2021-03-02,Mäusebussard,Totfund Einzeltier,negativ,,
BS,"Büel, Dietlikon",2021-03-02,Finken,Totfund Einzeltier,negativ,,
BS,Basel,2021-03-02,Wanderfalke,Totfund mehrere Tiere an einem Ort,negativ,,
BS,Basel,2021-03-02,Mäusebussard,Totfund mehrere Tiere an einem Ort,negativ,,
BS,Bettingen,2021-03-02,Schleiereulen,Totfund Einzeltier,negativ,,
BS,Riehen,2021-03-02,Turmfalke,Totfund Einzeltier,negativ,,
BS,Riehen,2021-03-02,Mäusebussard,Totfund Einzeltier,negativ,,
FL,Schaan,2021-03-04,Graureiher,Totfund Einzeltier,negativ,,
ZH,Zürich,2021-03-06,Weisskopfmöwe,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,Zürich,2021-03-06,Weisskopfmöwe,Totfund mehrere Tiere an einem Ort,negativ,,
NE,St Auban,2021-03-08,Spiessente,Totfund mehrere Tiere an einem Ort,negativ,,
NE,St Auban,2021-03-08,Haubentaucher,Totfund mehrere Tiere an einem Ort,negativ,,
NE,St Auban,2021-03-08,Haubentaucher,Totfund mehrere Tiere an einem Ort,negativ,,
SH,Kraftwerk Schaffhausen,2021-03-09,Blässhuhn,Totfund Einzeltier,negativ,,
FR,Nähe Kerzers,2021-03-09,Aaskrähe,,negativ,,
TG,Nähe Gottlieben,2021-03-10,Höckerschwan,Lebendfang klinisch krank,negativ,,
TG,Felben-Wellhausen,2021-03-11,Mäusebussard,Totfund mehrere Tiere an einem Ort,negativ,,
NE,Reserve naturelle de la vieille Thielle,2021-03-11,Mäusebussard,Totfund mehrere Tiere an einem Ort,negativ,,
NE,Reserve naturelle de la vieille Thielle,2021-03-11,Mäusebussard,Totfund mehrere Tiere an einem Ort,negativ,,
SH,Kraftwerk Schaffhausen,2021-03-15,Höckerschwan,Totfund Einzeltier,negativ,,
SH,Schaffhausen,2021-03-15,Blässhuhn,Jagdprobe klinisch krank,negativ,,
VD,Yverdon-les Bains,2021-03-16,Aaskrähe,Totfund mehrere Tiere an einem Ort,negativ,,
VD,Eysins,2021-03-16,Lachmöwe,Totfund mehrere Tiere an einem Ort,negativ,,
SH,Dachsen,2021-03-16,Lachmöwe,Lebendfang verletztes Tier,negativ,,
VD,Yvonand,2021-03-31,Höckerschwan,Totfund Einzeltier,negativ,,
SH,Büsingen,2021-04-02,Stockente,Totfund Einzeltier,negativ,,
SH,Schleitheim,2021-04-12,Turmfalke,Totfund mehrere Tiere an einem Ort,negativ,,
SH,Schleitheim,2021-04-12,Turmfalke,Totfund mehrere Tiere an einem Ort,negativ,,
VD,Mollens,2021-04-25,Milan,Totfund Einzeltier,negativ,,
VD,Yverdon-les-Bains,2021-04-25,Stockente,Totfund Einzeltier,negativ,,
BE,Ligerz ,2021-05-10,Höckerschwan,keine Angaben,negativ,,
BE,Seeland bei Ins,2021-05-14,Höckerschwan,keine Angaben,negativ,,
VD,Cully,2021-05-18,Höckerschwan,Totfund Einzeltier,negativ,,
GE,Genève,2021-05-18,Höckerschwan,Totfund Einzeltier,negativ,,
VD,Yvonand,2021-05-24,Höckerschwan,Totfund mehrere Tiere an einem Ort,negativ,,
BE,La Neuveville,2021-05-25,Höckerschwan,keine Angaben,negativ,,
VD,Yverdon-les-Bains,2021-06-05,Höckerschwan,Totfund Einzeltier,negativ,,
BE,Wohlen bei Bern,2021-06-07,Höckerschwan,Totfund Einzeltier,negativ,,
BE,"Vers-Cort, Corbeyrier",2021-06-28,Uhu,Lebendfang klinisch krank,negativ,,
BS,Riehen,2021-07-27,Höckerschwan,Totfund Einzeltier,negativ,,
VD,Valleyre,2021-08-12,Sperling,Totfund mehrere Tiere an einem Ort,negativ,,
VD,Valleyre,2021-08-12,Sperling,Totfund mehrere Tiere an einem Ort,negativ,,
VD,"Valeyres-sous-Rances, Chenalette",2021-09-01,Krähen,Totfund mehrere Tiere an einem Ort,negativ,,
BE,Bremgarten,2021-09-04,Höckerschwan,Lebendfang klinisch krank,negativ,,
SH,"Schaffhausen, Kraftwerk",2021-10-05,Höckerschwan,Totfund mehrere Tiere an einem Ort,negativ,,
SH,"Schaffhausen, Kraftwerk",2021-10-05,Höckerschwan,Totfund mehrere Tiere an einem Ort,negativ,,
SH,"Schaffhausen, Kraftwerk",2021-10-12,Mäusebussard,Totfund Einzeltier,negativ,,
VD,Lausanne,2021-10-25,Taube,Totfund mehrere Tiere an einem Ort,negativ,,
SH,Büsingen (am Rhein),2021-11-08,Höckerschwan,Totfund Einzeltier,negativ,,
BE,Radelfingen,2021-11-18,Höckerschwan,Totfund Einzeltier,negativ,,
BS,Basel,2021-11-23,Mäusebussard,Totfund mehrere Tiere an einem Ort,negativ,,
BE,"Aarberg, Kraftwerk",2021-11-23,Höckerschwan,Totfund Einzeltier,negativ,,
ZH,Hochfleden,2021-11-26,Spechte,Totfund Einzeltier,negativ,,
ZH,unbekannt,2021-11-28,Höckerschwan,Totfund Einzeltier,negativ,,
ZH,Hochfelden / Neerach,2021-11-29,Turmfalke,Totfund Einzeltier,negativ,,
ZH,Wädenswil,2021-12-01,Mäusebussard,Lebendfang verletztes Tier,negativ,,
ZH,unbekannt,2021-12-01,Lachmöwe,Totfund Einzeltier,negativ,,
ZH,Winterthur,2021-12-01,Sperling,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,unbekannt,2021-12-02,Lachmöwe,Totfund Einzeltier,negativ,,
ZH,Zürich,2021-12-02,Stockente,Totfund Einzeltier,negativ,,
BS,Basel,2021-12-02,Wanderfalke,Totfund Einzeltier,negativ,,
