Year,Species,Class of active substances,Critical active substance,Amount of active ingredient (kg)
2019,Pet,Tetracyclines,All types of active ingredients,4.72
2017,Species,Tetracyclines,All types of active ingredients,6856.08
2023,Species,Tetracyclines,All types of active ingredients,5185.22
2015,Species,Tetracyclines,All types of active ingredients,8683.29
2024,Species,Sulfonamides,All types of active ingredients,5116.58
2015,Species,Sulfonamides,All types of active ingredients,14958.95
2024,Livestock,Sulfonamides,All types of active ingredients,5116.58
2019,Livestock,Sulfonamides,All types of active ingredients,8406.4
2016,Species,Sulfonamides,All types of active ingredients,13130.27
2020,Livestock,Sulfonamides,All types of active ingredients,6696.51
2016,Livestock,Sulfonamides,All types of active ingredients,13130.27
2021,Livestock,Sulfonamides,All types of active ingredients,7147.73
2020,Species,Sulfonamides,All types of active ingredients,6696.51
2023,Livestock,Sulfonamides,All types of active ingredients,5385.66
2016,Species,Tetracyclines,All types of active ingredients,8177.02
2022,Livestock,Sulfonamides,All types of active ingredients,5350.39
2017,Species,Sulfonamides,All types of active ingredients,10180.52
2018,Species,Sulfonamides,All types of active ingredients,9291.97
2019,Species,Sulfonamides,All types of active ingredients,8406.4
2015,Livestock,Sulfonamides,All types of active ingredients,14958.95
2017,Livestock,Trimethoprim,All types of active ingredients,590.64
2020,Species,Trimethoprim,All types of active ingredients,561.02
2018,Species,Trimethoprim,All types of active ingredients,607.92
2024,Livestock,Trimethoprim,All types of active ingredients,555.09
2017,Species,Trimethoprim,All types of active ingredients,590.64
2021,Livestock,Trimethoprim,All types of active ingredients,676.06
2016,Livestock,Trimethoprim,All types of active ingredients,828.65
2022,Species,Trimethoprim,All types of active ingredients,510.27
2016,Species,Trimethoprim,All types of active ingredients,828.65
2023,Livestock,Trimethoprim,All types of active ingredients,520.51
2021,Species,Trimethoprim,All types of active ingredients,676.06
2020,Livestock,Trimethoprim,All types of active ingredients,561.02
2019,Livestock,Trimethoprim,All types of active ingredients,582.43
2023,Species,Trimethoprim,All types of active ingredients,520.51
2019,Species,Trimethoprim,All types of active ingredients,582.43
2022,Livestock,Trimethoprim,All types of active ingredients,510.27
2018,Livestock,Tetracyclines,All types of active ingredients,7213.96
2022,Pet,Tetracyclines,All types of active ingredients,14.56
2019,Species,Tetracyclines,All types of active ingredients,6226.5
2017,Livestock,Tetracyclines,All types of active ingredients,6851.41
2018,Pet,Tetracyclines,All types of active ingredients,4.34
2016,Livestock,Tetracyclines,All types of active ingredients,8172.19
2021,Pet,Tetracyclines,All types of active ingredients,5.8
2020,Species,Tetracyclines,All types of active ingredients,6823.4
2015,Species,Trimethoprim,All types of active ingredients,904.05
2018,Livestock,Trimethoprim,All types of active ingredients,607.92
2024,Species,Trimethoprim,All types of active ingredients,555.09
2015,Livestock,Trimethoprim,All types of active ingredients,904.05
2020,Pet,Tetracyclines,All types of active ingredients,4.96
2021,Species,Tetracyclines,All types of active ingredients,5793
2018,Species,Tetracyclines,All types of active ingredients,7218.3
2019,Livestock,Tetracyclines,All types of active ingredients,6221.78
2021,Species,Penicillins,All types of active ingredients,9908.26
2020,Pet,Penicillins,All types of active ingredients,437.24
2024,Pet,Penicillins,All types of active ingredients,408.87
2023,Pet,Penicillins,All types of active ingredients,408.93
2023,Species,Penicillins,All types of active ingredients,9256.96
2022,Species,Penicillins,All types of active ingredients,10024.48
2022,Pet,Penicillins,All types of active ingredients,432.19
2024,Species,Penicillins,All types of active ingredients,8895.78
2016,Livestock,Polymyxins,All types of active ingredients,372.03
2019,Species,Penicillins,All types of active ingredients,9784.79
2021,Livestock,Polymyxins,All types of active ingredients,81.98
2024,Pet,Polymyxins,All types of active ingredients,0.47
2015,Livestock,Penicillins,All types of active ingredients,9573.49
2017,Species,Penicillins,All types of active ingredients,9609.97
2015,Pet,Penicillins,All types of active ingredients,442.72
2019,Pet,Penicillins,All types of active ingredients,459.63
2019,Livestock,Penicillins,All types of active ingredients,9325.16
2016,Livestock,Penicillins,All types of active ingredients,9248.71
2018,Species,Penicillins,All types of active ingredients,9823.1
2023,Livestock,Penicillins,All types of active ingredients,8848.03
2020,Species,Penicillins,All types of active ingredients,9755.04
2018,Livestock,Penicillins,All types of active ingredients,9375.24
2022,Livestock,Penicillins,All types of active ingredients,9592.29
2024,Livestock,Penicillins,All types of active ingredients,8486.91
2021,Pet,Penicillins,All types of active ingredients,477.1
2018,Pet,Penicillins,All types of active ingredients,447.86
2016,Species,Penicillins,All types of active ingredients,9694.34
2016,Pet,Penicillins,All types of active ingredients,445.63
2020,Livestock,Penicillins,All types of active ingredients,9317.8
2017,Livestock,Penicillins,All types of active ingredients,9142.89
2015,Species,Penicillins,All types of active ingredients,10016.21
2017,Pet,Penicillins,All types of active ingredients,467.08
2020,Pet,Polymyxins,All types of active ingredients,0.44
2016,Pet,Polymyxins,All types of active ingredients,0.36
2023,Species,Polymyxins,All types of active ingredients,33.47
2020,Species,Polymyxins,All types of active ingredients,148.41
2016,Species,Polymyxins,All types of active ingredients,372.39
2023,Livestock,Polymyxins,All types of active ingredients,33.07
2019,Pet,Polymyxins,All types of active ingredients,0.54
2017,Species,Polymyxins,All types of active ingredients,327.63
2021,Species,Sulfonamides,All types of active ingredients,7147.73
2017,Livestock,Sulfonamides,All types of active ingredients,10180.52
2022,Species,Sulfonamides,All types of active ingredients,5350.39
2023,Species,Sulfonamides,All types of active ingredients,5385.66
2024,Livestock,Polymyxins,All types of active ingredients,35.96
2015,Species,Polymyxins,All types of active ingredients,502.7
2018,Livestock,Sulfonamides,All types of active ingredients,9291.97
2018,Pet,Polymyxins,All types of active ingredients,0.51
2015,Livestock,Polymyxins,All types of active ingredients,502.3
2017,Livestock,Polymyxins,All types of active ingredients,327.39
2017,Pet,Polymyxins,All types of active ingredients,0.24
2023,Pet,Polymyxins,All types of active ingredients,0.4
