Kanton CODE,Kampagne CODE,Erhebungsgrund CODE,Betriebskategorie CODE,Produktionsland CODE,Ursprungsland CODE,Produktionsmethode CODE,Probe ID,Datum Probenahme,Jahr,Probenbezugsteil CODE,PAID,MAID,Matrix Descriptor CODE,Ergebnis quantitativ,Einheit CODE,Ergebnis qualitativ,Ergebnisbewertung CODE,LOQ,LOD
AG,101,M2,C401,TH,,1.0,69639,2024-01-03,2024,,1090-29,13541-21,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69632,2024-01-03,2024,,196-92,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69637,2024-01-03,2024,,238-63,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69633,2024-01-03,2024,,183-34,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69639,2024-01-03,2024,,1007-84,13541-21,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69633,2024-01-03,2024,,837-12,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69639,2024-01-03,2024,,1139-76,13541-21,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69635,2024-01-03,2024,,1684-90,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69636,2024-01-03,2024,,5964-54,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69636,2024-01-03,2024,,670-28,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69635,2024-01-03,2024,,13087-25,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69639,2024-01-03,2024,,1503-51,13541-21,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69635,2024-01-03,2024,,210-50,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69632,2024-01-03,2024,,821-60,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69632,2024-01-03,2024,,6047-96,6504-83,,,mg/kg,<LOQ,NB,0.1,
AG,101,M2,C401,TH,,1.0,69633,2024-01-03,2024,,747-88,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69633,2024-01-03,2024,,820-63,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69639,2024-01-03,2024,,472-40,13541-21,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69637,2024-01-03,2024,,6256-51,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69635,2024-01-03,2024,,1595-66,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69636,2024-01-03,2024,,9222-77,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69637,2024-01-03,2024,,1084-47,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69637,2024-01-03,2024,,1129-09,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69637,2024-01-03,2024,,295-86,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69633,2024-01-03,2024,,2094-24,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69636,2024-01-03,2024,,920-54,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69633,2024-01-03,2024,,20787-11,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69636,2024-01-03,2024,,756-61,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69632,2024-01-03,2024,,924-42,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69640,2024-01-03,2024,,631-48,8677-63,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69632,2024-01-03,2024,,1080-59,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69639,2024-01-03,2024,,1328-91,13541-21,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69639,2024-01-03,2024,,713-93,13541-21,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69632,2024-01-03,2024,,339-51,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69636,2024-01-03,2024,,345-33,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69640,2024-01-03,2024,,978-74,8677-63,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69640,2024-01-03,2024,,1025-30,8677-63,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69632,2024-01-03,2024,,11-65,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69640,2024-01-03,2024,,183-34,8677-63,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69640,2024-01-03,2024,,6229-35,8677-63,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69636,2024-01-03,2024,,518-96,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69632,2024-01-03,2024,,1311-45,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69636,2024-01-03,2024,,561-64,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69637,2024-01-03,2024,,604-32,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69635,2024-01-03,2024,,759-52,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69637,2024-01-03,2024,,5964-54,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69633,2024-01-03,2024,,1215-42,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69639,2024-01-03,2024,,1755-71,13541-21,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69636,2024-01-03,2024,,340-48,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69636,2024-01-03,2024,,606-26,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69640,2024-01-03,2024,,305-56,8677-63,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69636,2024-01-03,2024,,924-42,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69632,2024-01-03,2024,,983-59,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69633,2024-01-03,2024,,1131-03,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69639,2024-01-03,2024,,342-42,13541-21,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69632,2024-01-03,2024,,1102-90,6504-83,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69640,2024-01-03,2024,,5964-54,8677-63,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69637,2024-01-03,2024,,839-06,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69637,2024-01-03,2024,,14768-26,9343-05,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69639,2024-01-03,2024,,400-62,13541-21,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69640,2024-01-03,2024,,430-69,8677-63,,,mg/kg,<LOQ,NB,0.01,
AG,101,M2,C401,TH,,1.0,69639,2024-01-03,2024,,637-30,13541-21,,,mg/kg,<LOQ,NB,0.01,
