Year,Canton,Species,Type of Slaughter,Origin of animal,Fitness for consumption,Count
2014,BL,Cattle < 6We,Normal,Inland,No,0
2014,BL,Cattle < 6We,Sanitary,Inland,No,0
2014,BL,Cattle < 6We,Normal,Abroad,No,0
2014,BL,Cattle < 6We,Sanitary,Abroad,No,0
2014,BL,Cattle > 6We,Normal,Inland,Yes,1861
2014,BL,Cattle > 6We,Sanitary,Inland,Yes,87
2014,BL,Cattle > 6We,Normal,Abroad,Yes,0
2014,BL,Cattle > 6We,Sanitary,Abroad,Yes,0
2014,BL,Cattle > 6We,Normal,Inland,No,1
2014,BL,Cattle > 6We,Sanitary,Inland,No,5
2014,BL,Cattle > 6We,Normal,Abroad,No,0
2014,BL,Cattle > 6We,Sanitary,Abroad,No,0
2014,BL,Equidae,Normal,Inland,Yes,124
2014,BL,Equidae,Sanitary,Inland,Yes,0
2014,BL,Equidae,Normal,Abroad,Yes,0
2014,BL,Equidae,Sanitary,Abroad,Yes,0
2014,BL,Equidae,Normal,Inland,No,0
2014,BL,Equidae,Sanitary,Inland,No,0
2014,BL,Equidae,Normal,Abroad,No,0
2014,BL,Equidae,Sanitary,Abroad,No,0
2014,BL,Goats,Normal,Inland,Yes,128
2014,BL,Goats,Sanitary,Inland,Yes,4
2014,BL,Goats,Normal,Abroad,Yes,0
2014,BL,Goats,Sanitary,Abroad,Yes,0
2014,BL,Goats,Normal,Inland,No,0
2014,BL,Goats,Sanitary,Inland,No,0
2014,BL,Goats,Normal,Abroad,No,0
2014,BL,Goats,Sanitary,Abroad,No,0
2014,BL,Sheep,Normal,Inland,Yes,16325
2014,BL,Sheep,Sanitary,Inland,Yes,8
2014,BL,Sheep,Normal,Abroad,Yes,0
2014,BL,Sheep,Sanitary,Abroad,Yes,0
2014,BL,Sheep,Normal,Inland,No,3
2014,BL,Sheep,Sanitary,Inland,No,0
2014,BL,Sheep,Normal,Abroad,No,0
2014,BL,Sheep,Sanitary,Abroad,No,0
2014,BL,Swine,Normal,Inland,Yes,2993
2014,BL,Swine,Sanitary,Inland,Yes,7
2014,BL,Swine,Normal,Abroad,Yes,0
2014,BL,Swine,Sanitary,Abroad,Yes,0
2014,BL,Swine,Normal,Inland,No,3
2014,BL,Swine,Sanitary,Inland,No,0
2014,BL,Swine,Normal,Abroad,No,0
2014,BL,Swine,Sanitary,Abroad,No,0
2014,BS,Cattle < 6We,Normal,Inland,Yes,0
2014,BS,Cattle < 6We,Sanitary,Inland,Yes,0
2014,BS,Cattle < 6We,Normal,Abroad,Yes,0
2014,BS,Cattle < 6We,Sanitary,Abroad,Yes,0
2014,BS,Cattle < 6We,Normal,Inland,No,0
2014,BS,Cattle < 6We,Sanitary,Inland,No,0
2014,BS,Cattle < 6We,Normal,Abroad,No,0
2014,BS,Cattle < 6We,Sanitary,Abroad,No,0
2014,BS,Cattle > 6We,Normal,Inland,Yes,4466
2014,BS,Cattle > 6We,Sanitary,Inland,Yes,0
2014,BS,Cattle > 6We,Normal,Abroad,Yes,0
2014,BS,Cattle > 6We,Sanitary,Abroad,Yes,0
2014,BS,Cattle > 6We,Normal,Inland,No,19
2014,BS,Cattle > 6We,Sanitary,Inland,No,1
2014,BS,Cattle > 6We,Normal,Abroad,No,0
2014,BS,Cattle > 6We,Sanitary,Abroad,No,0
2014,BS,Equidae,Normal,Inland,Yes,0
2014,BS,Equidae,Sanitary,Inland,Yes,0
2014,BS,Equidae,Normal,Abroad,Yes,0
2014,BS,Equidae,Sanitary,Abroad,Yes,0
2014,BS,Equidae,Normal,Inland,No,0
2014,BS,Equidae,Sanitary,Inland,No,0
2014,BS,Equidae,Normal,Abroad,No,0
2014,BS,Equidae,Sanitary,Abroad,No,0
2014,BS,Goats,Normal,Inland,Yes,15
2014,BS,Goats,Sanitary,Inland,Yes,0
2014,BS,Goats,Normal,Abroad,Yes,0
2014,BS,Goats,Sanitary,Abroad,Yes,0
2014,BS,Goats,Normal,Inland,No,0
2014,BS,Goats,Sanitary,Inland,No,0
2014,BS,Goats,Normal,Abroad,No,0
2014,BS,Goats,Sanitary,Abroad,No,0
2014,BS,Sheep,Normal,Inland,Yes,23299
2014,BS,Sheep,Sanitary,Inland,Yes,0
2014,BS,Sheep,Normal,Abroad,Yes,0
2014,BS,Sheep,Sanitary,Abroad,Yes,0
2014,BS,Sheep,Normal,Inland,No,18
2014,BS,Sheep,Sanitary,Inland,No,0
2014,BS,Sheep,Normal,Abroad,No,0
2014,BS,Sheep,Sanitary,Abroad,No,0
2014,BS,Swine,Normal,Inland,Yes,564820
2014,BS,Swine,Sanitary,Inland,Yes,0
2014,BS,Swine,Normal,Abroad,Yes,0
2014,BS,Swine,Sanitary,Abroad,Yes,0
2014,BS,Swine,Normal,Inland,No,552
